"","paste0.sp_tr.site..sp_tr.year_mo."
"1","ABBY2017-06"
"6","ABBY2018-06"
"39","ABBY2019-07"
"43","BART2016-07"
"45","BART2018-06"
"78","BART2019-07"
"85","BLAN2016-08"
"86","BONA2017-08"
"87","BONA2018-07"
"90","CLBJ2017-05"
"107","CLBJ2018-05"
"120","CLBJ2019-04"
"121","DEJU2017-07"
"130","DEJU2018-08"
"155","DEJU2019-08"
"181","DELA2015-07"
"210","DELA2016-06"
"241","DELA2017-06"
"245","GRSM2015-08"
"246","GRSM2016-07"
"273","GRSM2018-04"
"277","HARV2017-07"
"286","HARV2018-07"
"307","HARV2019-07"
"315","HEAL2017-07"
"326","HEAL2018-08"
"343","HEAL2019-08"
"360","JERC2017-09"
"367","JERC2018-09"
"386","JERC2019-09"
"396","KONZ2016-07"
"397","KONZ2019-07"
"399","LENO2016-05"
"400","LENO2017-06"
"428","LENO2019-06"
"439","MLBS2017-08"
"454","MLBS2018-07"
"463","NIWO2018-08"
"478","NIWO2019-08"
"486","NIWO2020-08"
"488","ONAQ2017-06"
"494","OSBS2017-09"
"505","OSBS2018-09"
"516","RMNP2017-07"
"534","RMNP2018-07"
"557","SCBI2016-07"
"561","SCBI2017-07"
"566","SCBI2019-06"
"584","SERC2016-07"
"587","SERC2017-07"
"591","SJER2017-03"
"595","SJER2018-03"
"601","SJER2019-03"
"604","SOAP2017-06"
"609","SOAP2018-06"
"618","SOAP2019-06"
"642","STEI2017-08"
"643","STEI2019-06"
"645","STEI2020-07"
"662","TALL2016-05"
"688","TEAK2017-07"
"693","TEAK2019-07"
"702","TREE2017-08"
"704","TREE2019-06"
"709","TREE2020-08"
"713","UKFS2017-06"
"733","UKFS2018-06"
"750","UKFS2020-06"
"757","UNDE2016-08"
"765","UNDE2019-06"
"768","UNDE2020-07"
"776","WREF2018-07"
"803","WREF2019-07"
"817","YELL2018-07"
"818","YELL2019-07"
"823","YELL2020-07"
